issue_year,purpose,total_loans,default_rate
2007.0,car,13,23.08
2007.0,credit_card,87,13.79
2007.0,debt_consolidation,207,26.57
2007.0,educational,36,16.67
2007.0,home_improvement,36,36.11
2007.0,house,8,25.0
2007.0,major_purchase,10,30.0
2007.0,medical,9,22.22
2007.0,moving,15,53.33
2007.0,other,113,23.01
2007.0,small_business,56,42.86
2007.0,vacation,4,25.0
2007.0,wedding,9,33.33
2008.0,car,54,24.07
2008.0,credit_card,399,16.54
2008.0,debt_consolidation,976,20.49
2008.0,educational,85,30.59
2008.0,home_improvement,140,21.43
2008.0,house,26,15.38
2008.0,major_purchase,91,15.38
2008.0,medical,51,19.61
2008.0,moving,31,6.45
2008.0,other,339,23.3
2008.0,renewable_energy,3,0.0
2008.0,small_business,127,34.65
2008.0,vacation,14,0.0
2008.0,wedding,57,14.04
2009.0,car,191,10.99
2009.0,credit_card,626,9.27
2009.0,debt_consolidation,2194,13.22
2009.0,educational,187,16.04
2009.0,home_improvement,388,12.89
2009.0,house,72,19.44
2009.0,major_purchase,258,9.69
2009.0,medical,91,19.78
2009.0,moving,67,10.45
2009.0,other,659,15.48
2009.0,renewable_energy,6,0.0
2009.0,small_business,368,23.64
2009.0,vacation,28,14.29
2009.0,wedding,146,11.64
2010.0,car,419,9.07
2010.0,credit_card,1545,9.77
2010.0,debt_consolidation,5729,14.26
2010.0,educational,114,22.81
2010.0,home_improvement,955,13.72
2010.0,house,104,19.23
2010.0,major_purchase,873,11.45
2010.0,medical,220,16.36
2010.0,moving,213,14.55
2010.0,other,1443,15.18
2010.0,renewable_energy,39,25.64
2010.0,small_business,466,27.47
2010.0,vacation,127,20.47
2010.0,wedding,290,8.28
2011.0,car,938,10.45
2011.0,credit_card,2820,11.7
2011.0,debt_consolidation,10670,16.14
2011.0,home_improvement,1680,11.79
2011.0,house,216,13.89
2011.0,major_purchase,1079,9.55
2011.0,medical,382,16.23
2011.0,moving,303,19.47
2011.0,other,1871,17.74
2011.0,renewable_energy,58,17.24
2011.0,small_business,975,27.49
2011.0,vacation,227,12.33
2011.0,wedding,502,11.35
2012.0,car,901,10.65
2012.0,credit_card,10365,12.73
2012.0,debt_consolidation,30811,17.38
2012.0,home_improvement,2893,12.79
2012.0,house,418,19.86
2012.0,major_purchase,1360,12.13
2012.0,medical,630,16.67
2012.0,moving,399,16.29
2012.0,other,3053,18.51
2012.0,renewable_energy,71,23.94
2012.0,small_business,1386,25.47
2012.0,vacation,344,17.73
2012.0,wedding,736,12.36
2013.0,car,1050,11.71
2013.0,credit_card,32805,13.2
2013.0,debt_consolidation,80640,16.36
2013.0,home_improvement,7404,14.18
2013.0,house,675,13.63
2013.0,major_purchase,2299,12.96
2013.0,medical,889,17.89
2013.0,moving,639,17.06
2013.0,other,5843,19.44
2013.0,renewable_energy,51,11.76
2013.0,small_business,1359,25.75
2013.0,vacation,565,15.58
2013.0,wedding,595,15.29
2014.0,car,1832,13.37
2014.0,credit_card,55522,14.92
2014.0,debt_consolidation,143006,18.72
2014.0,home_improvement,13045,16.21
2014.0,house,750,22.13
2014.0,major_purchase,3858,17.16
2014.0,medical,2331,19.09
2014.0,moving,1328,23.72
2014.0,other,10371,18.51
2014.0,renewable_energy,123,19.51
2014.0,small_business,2277,26.35
2014.0,vacation,1178,17.15
2014.0,wedding,8,0.0
2015.0,car,3466,15.29
2015.0,credit_card,102025,15.83
2015.0,debt_consolidation,250020,20.33
2015.0,educational,1,0.0
2015.0,home_improvement,25293,17.27
2015.0,house,1438,24.2
2015.0,major_purchase,7449,18.41
2015.0,medical,3938,20.24
2015.0,moving,2420,22.07
2015.0,other,19204,20.15
2015.0,renewable_energy,224,25.89
2015.0,small_business,3364,27.17
2015.0,vacation,2249,17.83
2015.0,wedding,4,0.0
2016.0,car,4813,13.59
2016.0,credit_card,91609,15.93
2016.0,debt_consolidation,248899,19.6
2016.0,home_improvement,31182,15.83
2016.0,house,2002,22.23
2016.0,major_purchase,10406,16.87
2016.0,medical,5440,19.32
2016.0,moving,3229,20.32
2016.0,other,28469,17.81
2016.0,renewable_energy,304,20.72
2016.0,small_business,4790,25.57
2016.0,vacation,3262,17.66
2016.0,wedding,2,0.0
2017.0,car,5357,11.5
2017.0,credit_card,91466,13.57
2017.0,debt_consolidation,245083,16.63
2017.0,educational,1,0.0
2017.0,home_improvement,34693,13.85
2017.0,house,2997,16.85
2017.0,major_purchase,11140,15.86
2017.0,medical,6885,15.8
2017.0,moving,3644,18.5
2017.0,other,33057,15.74
2017.0,renewable_energy,291,17.18
2017.0,small_business,4938,22.5
2017.0,vacation,4026,14.88
2017.0,wedding,1,0.0
2018.0,car,4979,8.66
2018.0,credit_card,127702,8.93
2018.0,debt_consolidation,259642,11.45
2018.0,home_improvement,32748,9.9
2018.0,house,5430,13.72
2018.0,major_purchase,11622,12.52
2018.0,medical,6622,11.79
2018.0,moving,3115,14.06
2018.0,other,35018,12.3
2018.0,renewable_energy,275,13.45
2018.0,small_business,4583,17.56
2018.0,vacation,3501,10.6
2018.0,wedding,5,40.0
2019.0,car,4554,3.27
2019.0,credit_card,139297,3.39
2019.0,debt_consolidation,281875,4.27
2019.0,home_improvement,32021,3.8
2019.0,house,4532,4.77
2019.0,major_purchase,9226,4.34
2019.0,medical,5998,4.85
2019.0,moving,2836,5.71
2019.0,other,29677,4.07
2019.0,renewable_energy,254,5.51
2019.0,small_business,4045,6.48
2019.0,vacation,3792,3.82
2020.0,car,1236,0.08
2020.0,credit_card,39397,0.38
2020.0,debt_consolidation,78306,0.43
2020.0,home_improvement,10522,0.37
2020.0,house,928,0.11
2020.0,major_purchase,3014,0.5
2020.0,medical,1809,0.44
2020.0,moving,945,0.63
2020.0,other,8371,0.69
2020.0,renewable_energy,68,0.0
2020.0,small_business,1242,0.64
2020.0,vacation,879,0.8
