addr_state,total_loans,total_defaults,default_rate,avg_int_rate,avg_loan_amnt,avg_fico,avg_dti
AK,6714,853,12.7,13.33,17493.513553768247,,19.614507000297884
AL,34726,5377,15.48,13.53,14963.75266371019,,20.813232448309627
AR,22252,3496,15.71,13.35,14390.885088980765,,21.17000853855833
AZ,70295,9108,12.96,12.94,14855.356355359556,,19.229463688740307
CA,404686,54315,13.42,12.96,15654.981640086387,,17.35245283997964
CO,61259,6503,10.62,12.53,15433.381217453762,,18.608258051878092
CT,46637,5373,11.52,13.06,15616.795141196904,,17.981652979394042
DC,6732,646,9.6,12.67,16141.328728461081,,15.89287284610814
DE,8425,1054,12.51,13.11,15263.679525222551,,19.726724035608306
FL,212386,30362,14.3,13.13,14800.49202866479,,19.13873155481058
GA,96497,11765,12.19,13.22,15643.616900007253,,19.46034094324176
HI,13517,1930,14.28,13.75,16234.042317082192,,19.663537767256045
IA,14,3,21.43,12.63,8148.214285714285,,13.656428571428572
ID,6817,588,8.63,13.28,14775.095349860643,,21.194075106351768
IL,117189,13658,11.65,12.93,15753.736272175716,,18.88983795407419
IN,48609,6584,13.54,13.12,14963.012507971775,,20.47449217223148
KS,24545,2723,11.09,12.97,15143.434508046445,,20.487579547769403
KY,28403,3710,13.06,13.16,14601.207618913495,,20.328732880329543
LA,32698,4877,14.92,13.17,15135.977735641323,,19.986020857544805
MA,67493,8499,12.59,12.68,15945.206910346258,,17.549885469604256
MD,69747,9677,13.87,13.23,16167.911881514618,,18.512963424950176
ME,7245,510,7.04,12.82,15028.264320220842,,21.20735541752933
MI,75354,9844,13.06,13.14,14568.371287522892,,19.449560209146163
MN,50545,6593,13.04,12.96,14908.679394598872,,19.477509941636164
MO,46780,6343,13.56,13.0,14827.664065840103,,20.291283882000855
MS,16848,2629,15.6,13.43,14935.76685660019,,21.035215455840454
MT,8220,895,10.89,12.89,14330.796836982969,,20.46662408759124
NC,81022,10919,13.48,13.15,15142.808743304287,,19.52696613265533
ND,5029,528,10.5,13.26,15780.731755816265,,21.573312785842116
NE,11040,1434,12.99,13.17,14542.253170289856,,20.711962862318842
NH,14540,1447,9.95,12.71,15182.176753782669,,19.720741403026135
NJ,106960,14300,13.37,12.99,16097.098915482424,,17.604682311144355
NM,15520,2150,13.85,13.08,15224.861469072164,,20.919963917525774
NV,42443,6387,15.05,13.19,14731.244257003511,,19.186181466908558
NY,236606,34519,14.59,13.04,15126.26127401672,,17.012206621979157
OH,96718,12324,12.74,13.12,14620.605781757275,,20.35567422816849
OK,26771,4064,15.18,13.21,15352.437338911508,,20.61829591722386
OR,35324,3351,9.49,12.93,14527.261918242555,,18.747573887441966
PA,97939,13171,13.45,13.09,14980.906993128376,,19.900451199215837
RI,13084,1519,11.61,13.06,14523.265056557628,,18.052940996637112
SC,36855,3761,10.2,13.24,15266.375661375661,,20.22493772893773
SD,5904,796,13.48,13.2,14606.25,,21.681458333333335
TN,46953,6198,13.2,13.24,15010.673971844184,,20.548938725960003
TX,242643,31437,12.96,12.98,15992.269507053572,,19.947889533182494
UT,19568,2323,11.87,13.1,15482.53653924775,,19.641326655764512
VA,80975,10500,12.97,13.05,16462.124421117627,,19.177868354430377
VT,6508,543,8.34,13.0,14071.707897971726,,20.898279041180086
WA,61445,6518,10.61,13.13,15704.434453576368,,18.822817153551956
WI,38652,4788,12.39,12.8,14812.307254475836,,20.174492911104213
WV,12294,1043,8.48,13.18,15262.939238653002,,21.07277533756304
WY,6066,680,11.21,13.15,15951.759808770195,,21.57765908341576
